Latitude_1,Latitude_2,Latitude_3,Latitude_4,Longitude_1,Longitude_2,Longitude_3,Longitude_4,Timestamp,Mg,Peak_Amplitude@Mg,Al,Peak_Amplitude@Al,Si,Peak_Amplitude@Si,Fe,Peak_Amplitude@Fe,Ca,Peak_Amplitude@Ca,Ti,Peak_Amplitude@Ti,Cr,Peak_Amplitude@Cr,O,Peak_Amplitude@O
74.141,72.9145,72.9328,74.16,102.178,102.333,105.131,105.183,2024-03-23T22:19:57.772,,,,,,,,,,,,,,,,
73.7355,72.5079,72.5264,73.7547,102.199,102.349,105.088,105.135,2024-03-23T22:20:05.772,,,,,,,,,,,,,,,,
73.33,72.1013,72.12,73.3494,102.219,102.365,105.046,105.09,2024-03-23T22:20:13.772,,,,,,,,,,,,,,,,
72.9246,71.6949,71.7137,72.9441,102.238,102.379,105.007,105.046,2024-03-23T22:20:21.772,,,,,,,,,,,,,,,,
72.5192,71.2884,71.3074,72.5389,102.256,102.393,104.969,105.004,2024-03-23T22:20:29.772,,,,,,,,,,,,,,,,
72.1139,70.8821,70.9013,72.1338,102.273,102.406,104.932,104.965,2024-03-23T22:20:37.772,,,,,,,,,,,,,,,,
71.7086,70.4758,70.4951,71.7287,102.289,102.418,104.897,104.927,2024-03-23T22:20:45.772,,,,,,,,,,,,,,,,
71.3035,70.0695,70.089,71.3237,102.304,102.43,104.864,104.891,2024-03-23T22:20:53.772,,,,,,,,,,,,,,,,
70.8982,69.6634,69.683,70.9186,102.319,102.441,104.831,104.856,2024-03-23T22:21:01.772,,,,,,,,,,,,,,,,
70.4932,69.2572,69.277,70.5136,102.333,102.452,104.8,104.822,2024-03-23T22:21:09.772,,,,,,,,,,,,,,,,
70.0881,68.8512,68.8711,70.1087,102.346,102.462,104.77,104.79,2024-03-23T22:21:17.772,,,,,,,,,,,,,,,,
69.6832,68.4451,68.4652,69.7039,102.359,102.472,104.742,104.759,2024-03-23T22:21:25.772,,,,,,,,,,,,,,,,
69.2782,68.0392,68.0593,69.299,102.371,102.481,104.713,104.729,2024-03-23T22:21:33.772,,,,,,,,,,,,,,,,
68.8734,67.6333,67.6536,68.8943,102.382,102.49,104.687,104.7,2024-03-23T22:21:41.772,,,,,,,,,,,,,,,,
68.4685,67.2275,67.2478,68.4896,102.394,102.499,104.661,104.673,2024-03-23T22:21:49.772,,,,,,,,,,,,,,,,
