Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Cr_Si_Ratio
-89.17559769167354,-88.76339653751032,-180.0,-157.0791552879981,0.06358902177291659
-89.17559769167354,-88.76339653751032,-157.0791552879981,-134.1583105759962,0.06358902177291659
-88.76339653751032,-88.35119538334709,-163.62712063872507,-147.25424127745015,0.06358902177291659
-88.35119538334709,-87.93899422918386,-167.2646593900547,-154.5293187801094,0.06358902177291659
-88.35119538334709,-87.93899422918386,-154.5293187801094,-141.7939781701641,0.06358902177291659
-87.93899422918386,-87.52679307502063,-169.57927690772112,-159.15855381544225,0.06358902177291659
-87.93899422918386,-87.52679307502063,-159.15855381544225,-148.73783072316337,0.06358902177291659
-87.52679307502063,-87.1145919208574,-171.1815521675064,-162.3631043350128,0.06358902177291659
-87.52679307502063,-87.1145919208574,-162.3631043350128,-153.5446565025192,0.06358902177291659
-87.52679307502063,-87.1145919208574,-153.5446565025192,-144.72620867002558,0.06358902177291659
-87.52679307502063,-87.1145919208574,-118.27086517254477,-109.45241734005117,0.021665006035235995
-87.52679307502063,-87.1145919208574,-109.45241734005117,-100.63396950755757,0.021665006035235995
-87.52679307502063,-87.1145919208574,-100.63396950755757,-91.81552167506396,0.021665006035235995
-87.52679307502063,-87.1145919208574,-91.81552167506396,-82.99707384257036,0.021665006035235995
-87.1145919208574,-86.70239076669418,-118.85137612160634,-111.20779813680713,0.021665006035235995
-87.1145919208574,-86.70239076669418,-111.20779813680713,-103.56422015200792,0.021665006035235995
-87.1145919208574,-86.70239076669418,-103.56422015200792,-95.92064216720871,0.021665006035235995
-87.1145919208574,-86.70239076669418,-95.92064216720871,-88.2770641824095,0.021665006035235995
-87.1145919208574,-86.70239076669418,-88.2770641824095,-80.6334861976103,0.021665006035235995
-86.70239076669418,-86.29018961253095,-112.54735360707258,-105.80208896777984,0.021665006035235995
-86.70239076669418,-86.29018961253095,-105.80208896777984,-99.0568243284871,0.03056280359313579
-86.70239076669418,-86.29018961253095,-99.0568243284871,-92.31155968919435,0.03056280359313579
-86.70239076669418,-86.29018961253095,-92.31155968919435,-85.56629504990161,0.03056280359313579
-86.70239076669418,-86.29018961253095,-85.56629504990161,-78.82103041060887,0.03056280359313579
-86.29018961253095,-85.87798845836772,-113.60208353455084,-107.5659093104191,0.021665006035235995
-86.29018961253095,-85.87798845836772,-107.5659093104191,-101.52973508628736,0.03056280359313579
-86.29018961253095,-85.87798845836772,-101.52973508628736,-95.49356086215562,0.03056280359313579
-86.29018961253095,-85.87798845836772,-95.49356086215562,-89.45738663802388,0.03056280359313579
-86.29018961253095,-85.87798845836772,-89.45738663802388,-83.42121241389214,0.03056280359313579
-86.29018961253095,-85.87798845836772,-83.42121241389214,-77.3850381897604,0.039460601151035585
-85.87798845836772,-85.4657873042045,-114.45308272239822,-108.9908396159314,0.021665006035235995
-85.87798845836772,-85.4657873042045,-108.9908396159314,-103.52859650946459,0.03056280359313579
-85.87798845836772,-85.4657873042045,-103.52859650946459,-98.06635340299778,0.03056280359313579
-85.87798845836772,-85.4657873042045,-98.06635340299778,-92.60411029653096,0.03056280359313579
-85.87798845836772,-85.4657873042045,-92.60411029653096,-87.14186719006415,0.03056280359313579
-85.87798845836772,-85.4657873042045,-87.14186719006415,-81.67962408359733,0.03056280359313579
-85.87798845836772,-85.4657873042045,-81.67962408359733,-76.21738097713052,0.039460601151035585
-85.4657873042045,-85.05358615004127,-105.17681397623562,-100.18860157465133,0.039460601151035585
-85.4657873042045,-85.05358615004127,-100.18860157465133,-95.20038917306704,0.039460601151035585
-85.4657873042045,-85.05358615004127,-95.20038917306704,-90.21217677148275,0.039460601151035585
-85.4657873042045,-85.05358615004127,-90.21217677148275,-85.22396436989845,0.039460601151035585
-85.4657873042045,-85.05358615004127,-85.22396436989845,-80.23575196831416,0.039460601151035585
-85.05358615004127,-84.64138499587804,-106.55830282141824,-101.96819674775688,0.039460601151035585
-85.05358615004127,-84.64138499587804,-101.96819674775688,-97.37809067409552,0.039460601151035585
-85.05358615004127,-84.64138499587804,-97.37809067409552,-92.78798460043416,0.039460601151035585
-85.05358615004127,-84.64138499587804,-92.78798460043416,-88.1978785267728,0.039460601151035585
-85.05358615004127,-84.64138499587804,-88.1978785267728,-83.60777245311144,0.039460601151035585
-85.05358615004127,-84.64138499587804,-83.60777245311144,-79.01766637945008,0.039460601151035585
-75.57295960428704,-75.16075845012381,-78.83223133111056,-77.20049312677364,0.06301720947272788
-75.57295960428704,-75.16075845012381,-77.20049312677364,-75.56875492243671,0.06301720947272788
-75.57295960428704,-75.16075845012381,-75.56875492243671,-73.93701671809978,0.06301720947272788
-75.57295960428704,-75.16075845012381,-73.93701671809978,-72.30527851376286,0.06301720947272788
-75.16075845012381,-74.74855729596058,-78.36649701942224,-76.77847353535071,0.06301720947272788
-75.16075845012381,-74.74855729596058,-76.77847353535071,-75.19045005127919,0.06301720947272788
-75.16075845012381,-74.74855729596058,-75.19045005127919,-73.60242656720766,0.06301720947272788
-75.16075845012381,-74.74855729596058,-73.60242656720766,-72.01440308313613,0.06301720947272788
-75.16075845012381,-74.74855729596058,55.02747564258607,56.615499126657596,0.035366932920074624
-75.16075845012381,-74.74855729596058,56.615499126657596,58.203522610729124,0.035366932920074624
-75.16075845012381,-74.74855729596058,58.203522610729124,59.79154609480065,0.035366932920074624
-74.74855729596058,-74.33635614179735,-77.91992038652143,-76.37325251358993,0.06301720947272788
-74.74855729596058,-74.33635614179735,-76.37325251358993,-74.82658464065844,0.06301720947272788
