Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Ti_Si_Ratio
-89.17559769167354,-88.76339653751032,-180.0,-157.0791552879981,0.06879286091333708
-89.17559769167354,-88.76339653751032,-157.0791552879981,-134.1583105759962,0.06879286091333708
-88.76339653751032,-88.35119538334709,-163.62712063872507,-147.25424127745015,0.06879286091333708
-88.35119538334709,-87.93899422918386,-167.2646593900547,-154.5293187801094,0.06879286091333708
-88.35119538334709,-87.93899422918386,-154.5293187801094,-141.7939781701641,0.06879286091333708
-87.93899422918386,-87.52679307502063,-169.57927690772112,-159.15855381544225,0.06879286091333708
-87.93899422918386,-87.52679307502063,-159.15855381544225,-148.73783072316337,0.06879286091333708
-87.52679307502063,-87.1145919208574,-171.1815521675064,-162.3631043350128,0.06879286091333708
-87.52679307502063,-87.1145919208574,-162.3631043350128,-153.5446565025192,0.06879286091333708
-87.52679307502063,-87.1145919208574,-153.5446565025192,-144.72620867002558,0.06879286091333708
-87.52679307502063,-87.1145919208574,-118.27086517254477,-109.45241734005117,0.015191004805360281
-87.52679307502063,-87.1145919208574,-109.45241734005117,-100.63396950755757,0.015191004805360281
-87.52679307502063,-87.1145919208574,-100.63396950755757,-91.81552167506396,0.015191004805360281
-87.52679307502063,-87.1145919208574,-91.81552167506396,-82.99707384257036,0.015191004805360281
-87.1145919208574,-86.70239076669418,-118.85137612160634,-111.20779813680713,0.015191004805360281
-87.1145919208574,-86.70239076669418,-111.20779813680713,-103.56422015200792,0.015191004805360281
-87.1145919208574,-86.70239076669418,-103.56422015200792,-95.92064216720871,0.015191004805360281
-87.1145919208574,-86.70239076669418,-95.92064216720871,-88.2770641824095,0.015191004805360281
-87.1145919208574,-86.70239076669418,-88.2770641824095,-80.6334861976103,0.015191004805360281
-86.70239076669418,-86.29018961253095,-112.54735360707258,-105.80208896777984,0.015191004805360281
-86.70239076669418,-86.29018961253095,-105.80208896777984,-99.0568243284871,0.015191004805360281
-86.70239076669418,-86.29018961253095,-99.0568243284871,-92.31155968919435,0.015191004805360281
-86.70239076669418,-86.29018961253095,-92.31155968919435,-85.56629504990161,0.015191004805360281
-86.70239076669418,-86.29018961253095,-85.56629504990161,-78.82103041060887,0.015191004805360281
-86.29018961253095,-85.87798845836772,-113.60208353455084,-107.5659093104191,0.015191004805360281
-86.29018961253095,-85.87798845836772,-107.5659093104191,-101.52973508628736,0.015191004805360281
-86.29018961253095,-85.87798845836772,-101.52973508628736,-95.49356086215562,0.015191004805360281
-86.29018961253095,-85.87798845836772,-95.49356086215562,-89.45738663802388,0.015191004805360281
-86.29018961253095,-85.87798845836772,-89.45738663802388,-83.42121241389214,0.015191004805360281
-85.87798845836772,-85.4657873042045,-114.45308272239822,-108.9908396159314,0.015191004805360281
-85.87798845836772,-85.4657873042045,-108.9908396159314,-103.52859650946459,0.015191004805360281
-85.87798845836772,-85.4657873042045,-103.52859650946459,-98.06635340299778,0.015191004805360281
-85.87798845836772,-85.4657873042045,-98.06635340299778,-92.60411029653096,0.015191004805360281
-85.87798845836772,-85.4657873042045,-92.60411029653096,-87.14186719006415,0.015191004805360281
-85.87798845836772,-85.4657873042045,-87.14186719006415,-81.67962408359733,0.015191004805360281
