Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Fe_Si_Ratio
-85.87798845836772,-85.4657873042045,-114.45308272239822,-108.9908396159314,0.014143813407259285
-85.87798845836772,-85.4657873042045,-108.9908396159314,-103.52859650946459,0.014143813407259285
-85.87798845836772,-85.4657873042045,-103.52859650946459,-98.06635340299778,0.014143813407259285
-85.87798845836772,-85.4657873042045,-98.06635340299778,-92.60411029653096,0.014143813407259285
-85.87798845836772,-85.4657873042045,-92.60411029653096,-87.14186719006415,0.014143813407259285
-85.87798845836772,-85.4657873042045,-87.14186719006415,-81.67962408359733,0.014143813407259285
-77.22176422093995,-76.80956306677672,-79.09259674627151,-77.25791668711281,0.09830540993311822
-77.22176422093995,-76.80956306677672,-77.25791668711281,-75.42323662795411,0.09830540993311822
-77.22176422093995,-76.80956306677672,-75.42323662795411,-73.58855656879541,0.09830540993311822
-77.22176422093995,-76.80956306677672,-73.58855656879541,-71.75387650963671,0.09830540993311822
-76.80956306677672,-76.39736191261349,-78.584810596528,-76.80559674734428,0.09830540993311822
-76.80956306677672,-76.39736191261349,-76.80559674734428,-75.02638289816056,0.09830540993311822
-76.80956306677672,-76.39736191261349,-75.02638289816056,-73.24716904897684,0.09830540993311822
-76.80956306677672,-76.39736191261349,-73.24716904897684,-71.46795519979312,0.09830540993311822
-76.39736191261349,-75.98516075845026,-79.82879684257063,-78.10170713295977,0.09830540993311822
-76.39736191261349,-75.98516075845026,-78.10170713295977,-76.37461742334892,0.09830540993311822
-76.39736191261349,-75.98516075845026,-76.37461742334892,-74.64752771373807,0.09830540993311822
-76.39736191261349,-75.98516075845026,-74.64752771373807,-72.92043800412722,0.09830540993311822
-76.39736191261349,-75.98516075845026,-72.92043800412722,-71.19334829451637,0.09830540993311822
-75.98516075845026,-75.57295960428704,-79.31897422741031,-77.64095713120048,0.09830540993311822
-75.98516075845026,-75.57295960428704,-77.64095713120048,-75.96294003499065,0.09830540993311822
-75.98516075845026,-75.57295960428704,-75.96294003499065,-74.28492293878082,0.09830540993311822
-75.98516075845026,-75.57295960428704,-74.28492293878082,-72.606905842571,0.09830540993311822
-75.57295960428704,-75.16075845012381,-78.83223133111056,-77.20049312677364,0.09830540993311822
-75.57295960428704,-75.16075845012381,-77.20049312677364,-75.56875492243671,0.09830540993311822
-75.57295960428704,-75.16075845012381,-75.56875492243671,-73.93701671809978,0.09830540993311822
-75.57295960428704,-75.16075845012381,-73.93701671809978,-72.30527851376286,0.09830540993311822
-75.57295960428704,-75.16075845012381,54.9703014245174,56.60203962885433,0.14923375168310662
-75.57295960428704,-75.16075845012381,56.60203962885433,58.233777833191255,0.14923375168310662
-75.57295960428704,-75.16075845012381,58.233777833191255,59.86551603752818,0.14923375168310662
-75.16075845012381,-74.74855729596058,55.02747564258607,56.615499126657596,0.10678121109415895
-75.16075845012381,-74.74855729596058,56.615499126657596,58.203522610729124,0.10678121109415895
-75.16075845012381,-74.74855729596058,58.203522610729124,59.79154609480065,0.10678121109415895
-74.74855729596058,-74.33635614179735,55.09351668558702,56.64018455851851,0.10678121109415895
-74.74855729596058,-74.33635614179735,56.64018455851851,58.186852431450006,0.10678121109415895
-74.74855729596058,-74.33635614179735,58.186852431450006,59.7335203043815,0.10678121109415895
-74.33635614179735,-73.92415498763413,55.16806804888972,56.67555566458773,0.10678121109415895
-74.33635614179735,-73.92415498763413,56.67555566458773,58.183043280285744,0.10678121109415895
-74.33635614179735,-73.92415498763413,58.183043280285744,59.690530895983755,0.10678121109415895
-73.92415498763413,-73.5119538334709,55.25081076884362,56.721128336148894,0.06432867050521125
