Latitude_1,Latitude_2,Latitude_3,Latitude_4,Longitude_1,Longitude_2,Longitude_3,Longitude_4,Timestamp,Mg,Peak_Amplitude@Mg,Sigma_Mg,Al,Peak_Amplitude@Al,Sigma_Al,Si,Peak_Amplitude@Si,Sigma_Si,Fe,Peak_Amplitude@Fe,Sigma_Fe,Ca,Peak_Amplitude@Ca,Sigma_Ca,Ti,Peak_Amplitude@Ti,Sigma_Ti,Cr,Peak_Amplitude@Cr,Sigma_Cr,O,Peak_Amplitude@O,Sigma_O,Solar_spec_Energy,Solar_spec_Amp,Solar_spec_Power,Reduced_ChiSq
-65.799,-66.9408,-66.6208,-65.4897,-43.3123,-42.5678,-40.7254,-41.5423,2021-02-25T03:41:49.417,1.2563638215801776,1.3570533979165829,0.12266012276544754,1.49,2.8793817880198187,0.06356948571733452,1.75,2.141905530849831,0.1123153853607977,6.41,2.1706885438175783,0.125,3.6999999999999997,2.2363310330260298,0.125,4.51,2.6818530243864465,0.125,5.41,2.276243790784241,0.125,0.525,5.456131705148006,0.019789795201746223,0.4416003970009099,8.185752605418331,-0.34043105263418316,4.844471197387806
-64.5723,-65.7136,-65.3975,-64.2664,-43.2529,-42.5496,-40.7945,-41.5634,2021-02-25T03:42:13.417,1.25,1.5905434724400502,0.050673813466885584,1.5,3.3792166766790346,0.07499258240405522,1.74,1.722827525461579,0.125,,,,3.69,1.3839242821381492,0.125,4.52,2.4715921024002907,0.125,5.42,3.0470779503026124,0.125,,,,0.14547369794227374,17.859283743686053,-0.42689954609491776,6.044359718178422
-63.7542,-64.8953,-64.5819,-63.4507,-43.2163,-42.5385,-40.8368,-41.576,2021-02-25T03:42:29.417,1.25,3.669938425288673,0.125,1.49,4.203962021568026,0.1065626243979109,1.75,4.142768076114614,0.125,6.4,2.750894257280499,0.125,,,,,,,5.41,2.289223736848873,0.125,0.535,1.6860927903117975,0.08713924913042581,0.49825374801051375,15.027023592962053,-0.23412273448439985,9.22564086470662
-63.3451,-64.4861,-64.1741,-63.0427,-43.1993,-42.5334,-40.8571,-41.5825,2021-02-25T03:42:37.417,1.25,2.7902081411575015,0.125,1.4932258292980023,12.461753441059608,0.010654848066817123,1.75,2.9481034171224283,0.08793657878780094,,,,3.69,1.9353377032789854,0.125,4.51,1.7636015079236609,0.125,,,,0.535,3.306800179831466,0.125,0.4467721733673997,13.052153676919678,-0.2543431564812005,5.265800448932753
-62.9359,-64.0768,-63.7661,-62.6348,-43.1823,-42.5288,-40.877,-41.5882,2021-02-25T03:42:45.417,1.25,2.096960702923091,0.125,1.49,11.042309525240332,0.04459979425129632,1.74,1.1943956133716087,0.125,,,,,,,4.51,1.8904575894274613,0.125,,,,,,,0.2504697960098541,11.999487704651695,-0.333548880789155,4.910978870418242
-62.1174,-63.2581,-62.9502,-61.8188,-43.1502,-42.5192,-40.9141,-41.5994,2021-02-25T03:43:01.417,1.25,2.818589454118082,0.125,1.49,8.907453280027708,0.041378493166529896,1.74,3.7860924097089277,0.05887878637241994,6.41,1.9465344350793028,0.125,3.6999999999999997,1.2727760240006758,0.125,,,,,,,,,,0.4654040054415876,10.157698749536685,-0.30523811699615777,5.522729025372537
-61.7082,-62.8487,-62.5423,-61.4108,-43.1352,-42.5149,-40.9321,-41.6051,2021-02-25T03:43:09.417,1.258275720940996,3.787182114413882,0.1004151159195704,1.49,7.381207803480509,0.07177400899443717,1.74,1.4967580694146565,0.10014936379233387,6.41,2.020016468514033,0.125,3.6999999999999997,1.5997131279654602,0.125,4.51,0.7748061415128329,0.125,,,,0.535,1.9656122752258363,0.04504307635095375,0.45528664288698695,9.878143445213158,-0.28143633283276764,4.646477547021784
-60.8897,-62.03,-61.7264,-60.5949,-43.1063,-42.5072,-40.9669,-41.6157,2021-02-25T03:43:25.417,1.25,1.857686905951975,0.125,1.49,8.42869979715338,0.04742598694703728,1.75,1.7164006176041697,0.125,,,,3.69,1.6654387737107401,0.125,,,,5.42,2.563204420245273,0.125,,,,0.47479412249743397,10.238149218102041,-0.2865650000134568,5.525591402652771
-60.4802,-61.6206,-61.3185,-60.1867,-43.0926,-42.5035,-40.9835,-41.6209,2021-02-25T03:43:33.417,1.25,2.2920024559217045,0.125,1.49,9.181808183148851,0.05378365742887039,1.75,1.2662017569722974,0.125,6.409107424744184,1.867222506967875,0.125,3.69,1.5471296324688393,0.125,4.51,1.1318901039733276,0.125,5.41,1.72091141572481,0.125,0.535,2.336322621625645,0.125,0.49999999999999994,9.464618326660567,-0.2183120876977642,5.075481483382685
-60.0707,-61.211,-60.9103,-59.7786,-43.0788,-42.5001,-40.9997,-41.6254,2021-02-25T03:43:41.417,1.25,4.055226701454168,0.125,1.49,13.534116785755556,0.03734797301095473,1.74,3.208047157428108,0.0929515841433318,6.4,1.693890335451704,0.125,3.69,1.6841291887116958,0.125,,,,5.41,1.6876526643533905,0.125,0.535,2.292584127783255,0.125,0.39049258543262505,8.342898618911303,-0.31521381130352294,4.057156675424552
