Latitude_1,Latitude_2,Latitude_3,Latitude_4,Longitude_1,Longitude_2,Longitude_3,Longitude_4,Timestamp,Mg,Peak_Amplitude@Mg,Sigma_Mg,Al,Peak_Amplitude@Al,Sigma_Al,Si,Peak_Amplitude@Si,Sigma_Si,Fe,Peak_Amplitude@Fe,Sigma_Fe,Ca,Peak_Amplitude@Ca,Sigma_Ca,Ti,Peak_Amplitude@Ti,Sigma_Ti,Cr,Peak_Amplitude@Cr,Sigma_Cr,O,Peak_Amplitude@O,Sigma_O,Solar_spec_Energy,Solar_spec_Amp,Solar_spec_Power,Reduced_ChiSq
82.6348,81.4334,81.4257,82.626,9.9173,10.2626,15.585,16.1068,2020-01-08T10:31:02.490,1.25,3.230370920630488,0.03731700304225301,1.49,4.735300235957817,0.04074328441775379,1.75,0.2430962710631092,0.06867647939411937,6.400000683897562,0.054679874935722725,0.004283860391016723,,,,4.52,1.597430181798297,0.125,5.41,2.3218713097366908,0.125,,,,0.4472518917056894,7.515579109643675,-0.3224765760629011,4.222794992879521
83.861,82.6596,82.6507,83.8503,9.4252,9.9084,16.1161,16.8472,2020-01-08T10:31:26.490,1.25,2.368690967299334,0.125,1.49,2.4903687744385037,0.09605557045632257,1.7413721714133106,2.4177143543400414,0.11907722019372702,,,,3.69,1.8363654508912235,0.125,4.510416296752755,2.470247041099454,0.125,,,,0.535,2.4655394309648315,0.08676526673226508,0.4999999999999889,8.62942280699786,-0.24310677445455806,5.528579931212435
84.2696,83.0682,83.0588,84.2582,9.2149,9.7626,16.3352,17.1652,2020-01-08T10:31:34.490,1.25,2.636778598764868,0.125,1.49,2.2658956992623978,0.07803935210761331,1.75,3.4661262089456595,0.11036531003084185,,,,,,,,,,,,,0.535,2.9465666503267562,0.125,0.483101475738819,13.349856961835458,-0.24389715102569443,7.476934622796536
84.678,83.4769,83.4668,84.6657,8.9713,9.5989,16.5821,17.5306,2020-01-08T10:31:42.490,1.26,1.7972106135402826,0.08157673617666787,1.49,5.342556733212545,0.0836732100732546,1.75,4.665707231386155,0.07890440911086323,6.4,3.2458812597173443,0.006522652583630731,3.6999999999999997,3.5623056793301924,0.10952428606969314,,,,5.41,3.253036274391478,0.125,0.535,2.4217918844539867,0.06504104316695548,0.4740733749765779,16.976497612281346,-0.25212297557605473,9.672471542370102
85.9027,84.7021,84.6898,85.8867,7.9528,8.9561,17.551,19.0665,2020-01-08T10:32:06.490,1.25,2.913495953241839,0.125,1.49,5.417794613076386,0.06051990116295352,1.75,2.93225315238626,0.125,,,,,,,,,,,,,,,,0.3378740654809466,19.696466725160715,-0.28872085123478936,10.080697429190293
86.3103,85.1104,85.097,86.2926,7.4622,8.67,17.9815,19.8022,2020-01-08T10:32:14.490,1.25,3.4415499975909998,0.125,1.49,14.278687965246514,0.05105913241427006,1.75,4.2789413099860285,0.125,,,,3.69,2.5997160371212256,0.125,,,,,,,,,,0.494987028393419,15.526328596228863,-0.2533269067398968,10.201842625851127
87.1247,85.9262,85.9102,87.1021,6.0667,7.9261,19.0999,21.896,2020-01-08T10:32:30.490,1.25,3.314746052883761,0.125,1.4960806885367366,10.077121077273699,0.054575716876068076,1.75,2.7178710727053716,0.125,6.41,2.502011501033152,0.125,3.69,2.349775861059711,0.125,4.52,2.7937089816459397,0.125,5.41,1.5243424331755877,0.125,0.535,125.35577016547566,0.0022503248054258304,0.45114369701292073,12.238643864409337,-0.2676914284258905,7.1942195729870715
87.9363,86.741,86.721,87.9047,3.5752,6.8113,20.7749,25.6088,2020-01-08T10:32:46.490,1.25,4.538295597368644,0.02930312417195249,1.4918955906740763,10.241017114096932,0.04117660546818046,1.75,2.5998021339433404,0.125,,,,,,,4.52,2.4562661047272125,0.125,,,,0.5334660431121409,6.438263139205657,0.007007668253976994,0.45365619209768515,8.510064813719348,-0.27882860215357697,5.016113354709828
88.3393,87.1481,87.1251,88.3002,1.4158,6.0169,21.9694,28.7684,2020-01-08T10:32:54.490,1.25,3.913760708234041,0.125,1.49,6.930879638481799,0.07432670627553675,1.75,1.3931807554498286,0.125,,,,3.692416702631003,2.119639399763161,0.125,,,,5.41,1.8008557236681477,0.125,,,,0.4059016826770446,7.867322435755618,-0.25507011186108974,4.211795240356156
88.7384,87.554,87.5273,88.6875,-2.1184,4.9572,23.5507,33.8181,2020-01-08T10:33:02.490,1.254527955025166,1.7090543912552485,0.031245082524997393,1.49,5.436410251427711,0.10469100996275589,1.74,1.1193612091274971,0.06599953322368139,6.4,3.204431110458562,0.125,,,,4.51,2.472623850209278,0.125,5.41,2.368915217723867,0.125,0.535,1.99250368985153,0.125,0.13249403470166765,8.727746617808315,-0.49642257616049673,5.434832870049859
89.4877,88.3615,88.322,89.3728,-25.671,1.2637,28.9761,62.3189,2020-01-08T10:33:18.490,1.26,2.0651229323312577,0.125,1.5,6.2480461783707755,0.06735371537442403,1.74,2.495742547614055,0.028633961457999086,6.401770374565948,3.8835224016566117,0.00396643843479871,3.69,1.6559191290841722,0.125,4.52,0.9088659168467069,0.125,5.41,1.153158978344813,0.125,0.5265000197792636,4.4218553023964295,0.004903988790915214,0.4579268160851541,5.864188407638075,-0.2055008696403072,3.1779461465426455
