Latitude_1,Latitude_2,Latitude_3,Latitude_4,Longitude_1,Longitude_2,Longitude_3,Longitude_4,Timestamp,Mg,Peak_Amplitude@Mg,Sigma_Mg,Al,Peak_Amplitude@Al,Sigma_Al,Si,Peak_Amplitude@Si,Sigma_Si,Fe,Peak_Amplitude@Fe,Sigma_Fe,Ca,Peak_Amplitude@Ca,Sigma_Ca,Ti,Peak_Amplitude@Ti,Sigma_Ti,Cr,Peak_Amplitude@Cr,Sigma_Cr,O,Peak_Amplitude@O,Sigma_O,Solar_spec_Energy,Solar_spec_Amp,Solar_spec_Power,Reduced_ChiSq
1.9384,0.6537,0.6698,1.9545,-97.5,-98.3581,-97.4786,-97.5,2021-07-02T07:13:56.523,1.26,94.9103782108334,0.0449026270102275,1.49,36.742471349105024,0.125,1.75,21.79381525754515,0.0422202018366957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4020500404023558,0.4020476605783017,-2.5,13.348027663341258
16.5644,15.2483,15.2628,16.579,-111.738,-112.667,-111.721,-111.738,2021-07-03T08:42:40.922,1.26,7.647557435714234,0.0993891112658118,1.49,43.69621300271528,0.0404102786786206,1.74,44.94164403580026,0.0493707922606184,nan,nan,nan,nan,nan,nan,4.512684019543874,0.8206292507076175,0.125,nan,nan,nan,0.535,9.651722686556283,0.0428012788005734,0.4121673788616499,0.3746677837065199,-2.499999999987636,1.9698894630894077
10.9263,9.61,9.6241,10.9405,-111.675,-112.584,-111.658,-111.675,2021-07-03T08:44:32.922,1.26,8.937215740216198,0.125,1.49,42.79657104790625,0.040951255109947,1.74,43.128629570867474,0.0644661012928981,6.41,0.8624388989131019,0.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.535,8.073619525458003,0.0404074103366299,0.4161674187856853,0.3439214823393794,-2.499999999999964,2.3084342143619563
10.1207,8.8044,8.8184,10.1348,-111.666,-112.572,-111.649,-111.666,2021-07-03T08:44:48.922,1.26,8.988439151345904,0.1151286724582351,1.49,30.740355162789616,0.0350331148795944,1.74,29.38181663497809,0.0714343838658438,nan,nan,nan,3.692869775499757,0.7349664310740577,0.125,nan,nan,nan,5.41,0.6015453230113594,0.125,0.535,14.93718851216586,0.0336189028536153,0.4013034905295175,0.4870665685134078,-2.4999999999999982,2.9310250212711453
-0.3523,-1.6673,-1.6534,-0.3384,-111.544,-112.438,-111.526,-111.544,2021-07-03T08:48:16.922,1.26,5.61929090725926,0.125,1.49,22.174231061257586,0.0625965738582426,1.74,27.903993562642974,0.0572097892925159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.535,22.88286250595487,0.0128038199985925,0.3915944296673273,0.5904111636815558,-2.5,2.944253241771243
-0.7552,-2.0699,-2.0561,-0.7413,-111.539,-112.433,-111.521,-111.539,2021-07-03T08:48:24.922,1.2583856669860969,10.558159839230566,0.1172409490876047,1.49,19.521778631806708,0.0632186168819305,1.74,37.27773247527337,0.0491441948846902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.535,15.584807446214846,0.0287796659489203,0.4074234358340526,0.4629350886042779,-2.5,3.725641461228336
-6.3967,-7.7099,-7.6959,-6.3828,-111.468,-112.366,-111.449,-111.468,2021-07-03T08:50:16.922,1.26,7.532737572064304,0.125,1.49,28.202858228605493,0.0372234768310265,1.74,30.743206378940847,0.0818333808354948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4055854517482578,0.4527401026934021,-2.499999999999911,2.5009616407045794
28.9366,27.6129,27.6282,28.952,-114.028,-115.051,-114.012,-114.028,2021-07-03T12:34:30.931,1.25,10.721643895076307,0.125,1.49,51.2119681531647,0.0576861911327694,1.74,85.12723713984441,0.0624097823202692,nan,nan,nan,3.69,0.9599719681279512,0.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4183959799722933,0.2193566784075549,-2.499999999997704,2.3807114420194955
14.4587,13.1327,13.1466,14.4726,-113.875,-114.807,-113.859,-113.875,2021-07-03T12:39:18.931,1.26,11.354132889622838,0.125,1.49,38.36449016337368,0.0596649174775185,1.74,72.87640219224501,0.0526593202651113,nan,nan,nan,3.69,0.8238938184681139,0.125,nan,nan,nan,5.42,0.530972975279425,0.125,nan,nan,nan,0.4100740799161441,0.3772264874879892,-2.5,3.797212814246187
11.6432,10.3174,10.3311,11.657,-113.845,-114.768,-113.83,-113.845,2021-07-03T12:40:14.931,1.26,10.868757650877155,0.125,1.49,44.53628059769336,0.0514095442525541,1.74,64.90444645178869,0.0619088874787227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.535,9.773661374417197,0.0321862159587485,0.4057710549454255,0.4153652443366395,-2.499999999999991,2.877736516082145
10.0341,8.7086,8.7222,10.0478,-113.829,-114.746,-113.813,-113.829,2021-07-03T12:40:46.931,1.26,9.501480914769624,0.1237090107087348,1.49,38.39583722295726,0.0682684570619646,1.74,59.070673059904145,0.0509205600397221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.535,21.46169835630774,0.0143782108374347,0.4106722157551969,0.4614585187617026,-2.4999999999998765,3.738847964112728
