Latitude_1,Latitude_2,Latitude_3,Latitude_4,Longitude_1,Longitude_2,Longitude_3,Longitude_4,Timestamp,Mg,Peak_Amplitude@Mg,Sigma_Mg,Al,Peak_Amplitude@Al,Sigma_Al,Si,Peak_Amplitude@Si,Sigma_Si,Fe,Peak_Amplitude@Fe,Sigma_Fe,Ca,Peak_Amplitude@Ca,Sigma_Ca,Ti,Peak_Amplitude@Ti,Sigma_Ti,Cr,Peak_Amplitude@Cr,Sigma_Cr,O,Peak_Amplitude@O,Sigma_O,Solar_spec_Energy,Solar_spec_Amp,Solar_spec_Power,Reduced_ChiSq
-23.5409,-24.7181,-24.7811,-23.6027,171.082,171.014,171.858,171.919,2022-10-02T20:21:32.964,1.250926785178488,29.502885013475534,0.09642965996827836,1.49,63.91883488468018,0.04336145272898026,1.74,85.97469657648938,0.059436924585139016,,,,3.69,20.909111744285006,0.0885634438799403,,,,,,,,,,0.4720022094928328,2.480133704101734,-0.9332761706206878,33.624243343963364
-23.1304,-24.308,-24.3702,-23.1916,171.078,171.011,171.854,171.913,2022-10-02T20:21:40.964,1.26,28.073283711111376,0.125,1.49,58.4220176913036,0.05548738515371621,1.74,96.0706300972271,0.054808116237844755,6.4,2.905824677685683,0.125,3.69,21.365285572207323,0.09684368193090129,,,,,,,0.535,6.703879441819779,0.02141486714530605,0.48715119699323484,2.4844063019114664,-0.8008617337099696,44.37933637437125
-22.72,-23.8979,-23.9594,-22.7804,171.075,171.009,171.849,171.908,2022-10-02T20:21:48.964,1.26,31.595809895575886,0.11868875229134586,1.49,68.29722546787995,0.052181421838326685,1.74,102.70112418141603,0.05661682556368496,,,,3.69,26.063888414377715,0.09182647289348234,,,,,,,,,,0.48292730798832006,3.531051312894781,-0.7164732629843197,42.323651926629736
-22.3096,-23.4878,-23.5485,-22.3693,171.072,171.007,171.844,171.902,2022-10-02T20:21:56.964,1.26,31.486458554785912,0.125,1.49,69.84758342694369,0.060403293523721355,1.74,108.49236693675593,0.05633408211168856,6.4,5.096284457440994,0.125,3.69,28.92379838896248,0.09995210114185636,,,,,,,,,,0.49038315614811806,2.945336381746632,-0.8150451867739543,54.302461344403014
-21.8994,-23.0777,-23.1377,-21.9582,171.068,171.004,171.84,171.897,2022-10-02T20:22:04.964,1.26,24.046256478745548,0.125,1.49,48.80352433199261,0.08351498621213058,1.74,92.77903718146368,0.05480364481667824,,,,3.69,25.79503084801476,0.09700268710369417,,,,,,,,,,0.4960697268366247,3.6644169551806605,-0.5950043842277395,42.39257290911918
-21.489,-22.6678,-22.7269,-21.5471,171.065,171.002,171.835,171.891,2022-10-02T20:22:12.964,1.26,25.494993974312745,0.12103307478480742,1.49,56.527294786974466,0.05859043863124362,1.74,81.34335850164707,0.0619096159623354,,,,3.69,25.31942380568093,0.10148737437775318,,,,,,,0.535,2.14984975006774,0.125,0.49503692256436077,3.4549259968911152,-0.5900941663726482,35.20075738313634
-21.0786,-22.2577,-22.3161,-21.136,171.062,171.0,171.831,171.886,2022-10-02T20:22:20.964,1.26,35.51757963962134,0.125,1.49,105.732779018896,0.05318575258526396,1.74,131.60277114526417,0.05694605850505499,,,,3.69,44.57786886159893,0.08094658847286156,,,,,,,,,,0.46388046941179617,5.6233993167322085,-0.7256763176907791,79.51441466913302
-20.6684,-21.8477,-21.9053,-20.7249,171.058,170.998,171.827,171.881,2022-10-02T20:22:28.964,1.26,33.63089468190476,0.125,1.49,75.33256771331,0.05705216079489161,1.74,103.71955142323824,0.05449424915695875,,,,3.69,34.77806511257158,0.08454870674639728,,,,,,,,,,0.487934678484262,4.20532613389538,-0.6567080333786421,54.96997173698397
-20.2581,-21.4377,-21.4946,-20.3138,171.055,170.995,171.822,171.876,2022-10-02T20:22:36.964,1.26,35.02394055585923,0.12005892703880543,1.49,75.312166758432,0.06384337163884939,1.74,99.59113461564374,0.05951728323072349,,,,3.69,36.73970970013893,0.09056971383389205,,,,,,,,,,0.462996385954836,4.759722548870563,-0.660677650275534,47.19716593985628
-19.8477,-21.0277,-21.0838,-19.9028,171.051,170.993,171.818,171.87,2022-10-02T20:22:44.964,1.26,38.10452261004822,0.11733240448182472,1.49,85.7528774397521,0.057291494857274944,1.74,110.58338985725595,0.06137664557584018,,,,3.69,40.59457962205949,0.0947206302633742,,,,,,,,,,0.46422898534942775,4.97423733027736,-0.6931826432018576,80.28464593771692
-19.4375,-20.6177,-20.673,-19.4918,171.048,170.991,171.814,171.865,2022-10-02T20:22:52.964,1.26,57.76859360409972,0.11649787747886658,1.49,143.60112749490196,0.05370545120265224,1.74,155.43050258501088,0.059296491948430875,,,,3.69,61.6595503413375,0.08853636798911728,,,,,,,,,,0.48694102630477415,6.421251096055931,-0.7165610057790822,121.49623186713063
